,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
6891,2.0,10.0,1.0,,4.0,3.0,2.0,1.0,2.0,Strongly agree,60-70,Yes
6892,2.0,11.0,3.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,71-75,Yes
6893,2.0,10.0,5.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,60-70,Yes
6894,2.0,11.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,71-75,Yes
6895,2.0,12.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,76+,Yes
6896,2.0,11.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,Strongly agree,71-75,Yes
6897,1.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
6898,1.0,5.0,10.0,4.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6899,1.0,6.0,7.0,1.0,4.0,3.0,4.0,3.0,2.0,Somewhat disagree,40-44,Yes
6900,1.0,8.0,8.0,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
6901,1.0,10.0,8.0,1.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
6902,1.0,10.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
6903,1.0,10.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,Somewhat disagree,60-70,Yes
6904,2.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
6905,2.0,4.0,8.0,2.0,2.0,2.0,3.0,3.0,1.0,Somewhat disagree,30-34,No
6906,2.0,7.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
6907,2.0,9.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,Somewhat disagree,55-59,No
6908,2.0,9.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,Somewhat agree,55-59,Yes
6909,2.0,10.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,Somewhat agree,60-70,Yes
6910,2.0,10.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,Somewhat agree,60-70,Yes
6911,2.0,12.0,1.0,,1.0,2.0,4.0,2.0,2.0,Somewhat agree,76+,Yes
